Arguments;Attacks;PercentageIncomplete;Index;Runtime;Timeout;NrRelevant;NrReachable;StabilityTime;StabilityStatus
20;30;30;20;0,02674102783203125;0;5;5;0,007342815399169922;False
10;15;10;24;0,009749650955200195;0;0;2;0,007667064666748047;False
25;37;10;6;0,020355939865112305;0;0;4;0,010518312454223633;False
5;7;20;1;0,008487939834594727;0;0;0;0,0036652088165283203;True
15;22;20;0;0,010203361511230469;0;0;0;0,005013227462768555;True
5;7;30;11;0,00849151611328125;0;0;3;0,006602287292480469;False
10;15;40;24;0,007426738739013672;0;0;0;0,0035228729248046875;True
5;7;40;12;0,00798487663269043;0;0;0;0,006442070007324219;True
15;22;20;18;0,007628440856933594;0;0;0;0,0077779293060302734;True
10;15;30;0;0,017849445343017578;0;1;4;0,014520645141601562;False
15;22;40;9;8,090303659439087;0;0;11;0,14849376678466797;True
25;37;20;18;0,00930333137512207;0;0;10;0,005986213684082031;False
10;15;30;17;0,0070133209228515625;0;0;0;0,003414154052734375;True
5;7;30;14;0,006997346878051758;0;0;2;0,00418853759765625;False
25;37;30;3;0,007141828536987305;0;0;0;0,004061222076416016;False
10;15;10;12;0,00680851936340332;0;0;0;0,003738880157470703;False
20;30;10;8;0,008098125457763672;0;0;4;0,005728721618652344;False
25;37;30;2;0,007683515548706055;0;0;0;0,004464149475097656;True
25;37;10;7;0,00782632827758789;0;0;0;0,004349231719970703;False
5;7;10;2;0,007260560989379883;0;0;0;0,003620624542236328;False
25;37;10;11;0,008134841918945312;0;0;0;0,003896951675415039;True
15;22;40;3;0,007778644561767578;0;0;0;0,004044532775878906;True
25;37;20;22;0,007741451263427734;0;0;0;0,0038247108459472656;True
15;22;20;6;0,0074427127838134766;0;0;0;0,00363922119140625;True
5;7;40;18;0,007103919982910156;0;0;0;0,0031595230102539062;True
5;7;20;19;0,007141590118408203;0;0;0;0,004030466079711914;False
25;37;40;2;;1;;21;0,008842229843139648;False
20;30;10;19;0,008170843124389648;0;0;0;0,0037992000579833984;True
20;30;40;8;0,007530927658081055;0;0;0;0,003987550735473633;False
5;7;40;8;0,007241964340209961;0;0;4;0,0037202835083007812;False
10;15;40;12;0,007401227951049805;0;0;1;0,0036001205444335938;False
5;7;20;4;0,007245302200317383;0;0;1;0,0037221908569335938;False
10;15;30;14;0,007297515869140625;0;0;0;0,003396272659301758;True
15;22;20;23;0,00735783576965332;0;0;0;0,0036573410034179688;True
5;7;40;6;0,008479833602905273;0;0;4;0,004166364669799805;False
15;22;10;12;0,008289337158203125;0;0;3;0,004656076431274414;False
15;22;10;5;0,009091377258300781;0;0;0;0,00420379638671875;True
5;7;10;21;0,00759577751159668;0;0;0;0,003411531448364258;True
10;15;10;3;0,008740425109863281;0;0;0;0,004618167877197266;True
20;30;20;4;0,008870363235473633;0;0;0;0,004626274108886719;True
15;22;30;20;0,007477998733520508;0;0;0;0,003770589828491211;True
10;15;20;10;0,00822305679321289;0;1;1;0,00435948371887207;False
25;37;20;4;0,009016752243041992;0;0;0;0,004525899887084961;True
10;15;40;10;0,00971531867980957;0;2;2;0,004518270492553711;False
5;7;10;14;0,008295774459838867;0;0;0;0,005444526672363281;False
10;15;40;14;0,009045124053955078;0;2;2;0,005462646484375;False
20;30;10;3;0,008660554885864258;0;0;0;0,0038728713989257812;True
25;37;30;12;0,008680105209350586;0;0;10;0,005418539047241211;False
25;37;30;16;22,740800619125366;0;4;14;0,0063626766204833984;False
5;7;40;21;0,007390022277832031;0;0;2;0,004324436187744141;False
5;7;20;11;0,00696253776550293;0;0;2;0,004225015640258789;False
15;22;20;19;0,013333797454833984;0;1;4;0,004624605178833008;False
5;7;10;20;0,007397651672363281;0;0;0;0,0036509037017822266;False
15;22;10;20;0,007237434387207031;0;0;0;0,0031926631927490234;True
15;22;20;4;0,0405426025390625;0;0;5;0,00872492790222168;True
10;15;40;2;0,0075342655181884766;0;0;1;0,004113674163818359;False
5;7;30;17;0,00765538215637207;0;2;2;0,00395965576171875;False
15;22;30;2;0,03177666664123535;0;2;5;0,004685401916503906;False
10;15;20;17;0,012267589569091797;0;0;3;0,003911733627319336;True
