Arguments;Attacks;PercentageIncomplete;Index;Runtime;PreprocessingTime;GroundingTime;Timeout;NrRelevant;NrReachable;StabilityTime;StabilityStatus
150;225;30;16;;;;1;;45;0,004369974136352539;Unstable
100;150;40;22;1,2313776016235352;4,76837158203125e-07;0,16631436347961426;0;6;3;0,003442049026489258;Unstable
250;375;10;6;0,5842256546020508;4,76837158203125e-07;0,24405622482299805;0;0;37;0,005419254302978516;is_out(a0)
200;300;30;5;1,5183138847351074;7,152557373046875e-07;0,5102880001068115;0;0;13;0,00600433349609375;is_out(a0)
150;225;40;4;;;;1;;102;0,005432605743408203;Unstable
200;300;10;18;0,7622237205505371;4,76837158203125e-07;0,14525771141052246;0;6;30;0,0045773983001708984;Unstable
200;300;20;19;0,9618191719055176;2,384185791015625e-07;0,34836697578430176;0;0;66;0,0053555965423583984;is_out(a0)
200;300;20;0;0,7789313793182373;2,384185791015625e-07;0,3602745532989502;0;0;0;0,009080886840820312;is_in(a0)
50;75;30;8;0,05846667289733887;4,76837158203125e-07;0,030208826065063477;0;0;4;0,0023338794708251953;is_out(a0)
150;225;10;20;0,22210979461669922;7,152557373046875e-07;0,11956930160522461;0;0;19;0,0037078857421875;is_in(a0)
150;225;30;14;1,1402084827423096;4,76837158203125e-07;0,28951144218444824;0;0;57;0,00443577766418457;is_in(a0)
100;150;30;7;0,2975888252258301;4,76837158203125e-07;0,1284959316253662;0;0;24;0,0032377243041992188;is_out(a0)
200;300;30;15;;;;1;;97;0,006978273391723633;Unstable
100;150;10;10;0,10046815872192383;2,384185791015625e-07;0,040395498275756836;0;2;18;0,0031137466430664062;Unstable
150;225;30;8;0,7801792621612549;2,384185791015625e-07;0,269625186920166;0;0;61;0,0055408477783203125;is_out(a0)
250;375;20;20;1,1975252628326416;4,76837158203125e-07;0,5767626762390137;0;0;0;0,006392955780029297;is_in(a0)
250;375;40;4;;;;1;;127;0,008022069931030273;Unstable
150;225;40;18;8,540471315383911;2,384185791015625e-07;0,4364330768585205;0;10;87;0,005224466323852539;Unstable
250;375;40;15;2,811540365219116;7,152557373046875e-07;1,207552194595337;0;0;0;0,007632017135620117;is_in(a0)
150;225;30;17;;;;1;;73;0,005307674407958984;Unstable
250;375;20;8;1,2626683712005615;2,384185791015625e-07;0,5698068141937256;0;0;0;0,006669521331787109;is_in(a0)
100;150;40;19;0,7257640361785889;4,76837158203125e-07;0,22495031356811523;0;0;1;0,004064083099365234;is_out(a0)
50;75;40;15;0,121185302734375;4,76837158203125e-07;0,08405756950378418;0;0;0;0,002456188201904297;is_in(a0)
50;75;30;0;0,12225699424743652;2,384185791015625e-07;0,08358526229858398;0;0;1;0,002544879913330078;is_in(a0)
100;150;30;10;0,5364968776702881;4,76837158203125e-07;0,1662893295288086;0;4;46;0,004922389984130859;Unstable
150;225;30;5;0,6529397964477539;2,384185791015625e-07;0,2906672954559326;0;0;0;0,004857778549194336;is_in(a0)
200;300;30;18;4,5502424240112305;2,384185791015625e-07;0,5176334381103516;0;2;1;0,006842851638793945;Unstable
200;300;30;19;1,6374528408050537;2,384185791015625e-07;0,4928925037384033;0;0;77;0,006528377532958984;is_out(a0)
250;375;20;19;10,14594030380249;2,384185791015625e-07;0,520305871963501;0;11;67;0,006787776947021484;Unstable
50;75;40;14;0,12381172180175781;4,76837158203125e-07;0,04981350898742676;0;2;1;0,002826690673828125;Unstable
150;225;20;22;1,250410556793213;4,76837158203125e-07;0,18878698348999023;0;2;33;0,004437446594238281;Unstable
150;225;20;21;9,607133626937866;2,384185791015625e-07;0,18280339241027832;0;29;40;0,004812002182006836;Unstable
250;375;10;7;0,8529131412506104;2,384185791015625e-07;0,2712886333465576;0;2;2;0,006536722183227539;Unstable
50;75;40;0;1,505835771560669;2,384185791015625e-07;0,04931974411010742;0;72;30;0,0028028488159179688;Unstable
200;300;20;15;;;;1;;63;0,006422281265258789;Unstable
250;375;30;19;2,8926334381103516;4,76837158203125e-07;0,8917298316955566;0;0;118;0,0075757503509521484;is_out(a0)
250;375;40;14;;;;1;;122;0,008230447769165039;Unstable
200;300;10;5;0,8295471668243408;2,384185791015625e-07;0,18807578086853027;0;0;13;0,0048389434814453125;is_out(a0)
200;300;20;3;0,8642125129699707;4,76837158203125e-07;0,34029316902160645;0;0;9;0,005725860595703125;is_out(a0)
