Arguments;Attacks;PercentageIncomplete;Index;Runtime;PreprocessingTime;GroundingTime;Timeout;NrRelevant;NrReachable;StabilityTime;StabilityStatus
150;225;30;16;0,022034406661987305;0,012543678283691406;0,0015103816986083984;0;7;3;0,003951311111450195;Unstable
100;150;40;22;0,013625621795654297;0,008341550827026367;0,0013935565948486328;0;7;3;0,0036063194274902344;Unstable
20;30;30;20;0,006914854049682617;0,0022363662719726562;0,0011467933654785156;0;0;0;0,0014171600341796875;is_out(a0)
250;375;10;6;0,19506502151489258;0,03977799415588379;0,04550051689147949;0;4;28;0,005236625671386719;Unstable
10;15;10;24;0,007227182388305664;0,0017261505126953125;0,0012998580932617188;0;0;1;0,0011565685272216797;is_out(a0)
200;300;30;5;0,026734352111816406;0,021486997604370117;0,0011000633239746094;0;0;0;0,005700111389160156;is_out(a0)
150;225;40;4;0,020540237426757812;0,015227556228637695;0,001157999038696289;0;0;0;0,005283832550048828;is_in(a0)
25;37;10;6;0,009580135345458984;0,0027146339416503906;0,002474546432495117;0;0;2;0,0015232563018798828;is_in(a0)
200;300;10;18;0,08900213241577148;0,02260279655456543;0,03466200828552246;0;0;25;0,004246950149536133;is_in(a0)
200;300;20;19;0,0291748046875;0,023935556411743164;0,0010652542114257812;0;0;0;0,0050029754638671875;is_in(a0)
200;300;20;0;0,030497074127197266;0,025075674057006836;0,0010666847229003906;0;0;0;0,005126237869262695;is_in(a0)
50;75;30;8;0,03738808631896973;0,0043184757232666016;0,01254582405090332;0;7;23;0,002338886260986328;Unstable
150;225;10;20;0,018152236938476562;0,012466192245483398;0,0014979839324951172;0;0;1;0,003871440887451172;is_out(a0)
150;225;30;14;0,03090810775756836;0,025088071823120117;0,001119852066040039;0;0;0;0,004720449447631836;is_in(a0)
5;7;20;1;0,007708549499511719;0,0017168521881103516;0,0014014244079589844;0;0;0;0,0010967254638671875;is_in(a0)
15;22;20;0;0,009746789932250977;0,002185821533203125;0,0027294158935546875;0;2;3;0,0014421939849853516;Unstable
100;150;30;7;0,08582329750061035;0,01080012321472168;0,03626298904418945;0;0;43;0,003718852996826172;is_out(a0)
5;7;30;11;0,007367610931396484;0,0016596317291259766;0,0014374256134033203;0;0;0;0,0010476112365722656;is_in(a0)
200;300;30;15;0,036325693130493164;0,03036189079284668;0,0011832714080810547;0;0;0;0,005983591079711914;is_in(a0)
10;15;40;24;0,007963418960571289;0,0018727779388427734;0,0016129016876220703;0;2;1;0,0013794898986816406;Unstable
5;7;40;12;0,0074880123138427734;0,0018606185913085938;0,0015118122100830078;0;0;0;0,0011167526245117188;is_undec(a0)
100;150;10;10;0,013888835906982422;0,007085323333740234;0,0019321441650390625;0;2;2;0,002811908721923828;Unstable
150;225;30;8;0,19500160217285156;0,020988941192626953;0,08369755744934082;0;0;59;0,005001068115234375;is_in(a0)
15;22;20;18;0,00845956802368164;0,0022208690643310547;0,001478433609008789;0;0;0;0,001422882080078125;is_in(a0)
10;15;30;0;0,009186506271362305;0,0018799304962158203;0,0025634765625;0;2;3;0,0012636184692382812;is_in(a0)
15;22;40;9;0,008253097534179688;0,0023546218872070312;0,0016078948974609375;0;2;1;0,001438140869140625;Unstable
250;375;20;20;0,6423838138580322;0,05305933952331543;0,22966790199279785;0;0;81;0,006438732147216797;is_out(a0)
25;37;20;18;0,014616727828979492;0,0030667781829833984;0,005075216293334961;0;0;6;0,0017578601837158203;is_in(a0)
10;15;30;17;0,00997614860534668;0,0019075870513916016;0,002912282943725586;0;8;4;0,0014121532440185547;Unstable
5;7;30;14;0,008656740188598633;0,001806497573852539;0,0023696422576904297;0;5;3;0,0010285377502441406;Unstable
25;37;30;3;0,03233623504638672;0,0029287338256835938;0,009234905242919922;0;15;13;0,0017788410186767578;Unstable
10;15;10;12;0,008469820022583008;0,0019142627716064453;0,002032756805419922;0;0;1;0,0010547637939453125;is_in(a0)
20;30;10;8;0,010366439819335938;0,0025713443756103516;0,0030257701873779297;0;0;2;0,0014138221740722656;is_out(a0)
250;375;40;4;0,06108999252319336;0,05410337448120117;0,0014243125915527344;0;2;1;0,010220527648925781;Unstable
25;37;30;2;0,017615079879760742;0,0031092166900634766;0,0076258182525634766;0;0;10;0,0016021728515625;is_in(a0)
150;225;40;18;0,24210143089294434;0,017276525497436523;0,08585309982299805;0;0;77;0,005131959915161133;is_out(a0)
